state,county,city,zip
massachusetts,Berkshire County,lenox,01240
massachusetts,Berkshire County,lenox,01240
massachusetts,Berkshire County,sheffield,01257
massachusetts,Berkshire County,stockbridge,01262
massachusetts,Dukes County,vineyard-haven,02568
massachusetts,Barnstable County,eastham,02642
massachusetts,Barnstable County,harwich,02645
massachusetts,Barnstable County,marstons-mills,02648
massachusetts,Barnstable County,west-harwich,02671
new-jersey,Cape May County,avalon,08202
new-jersey,Cape May County,sea-isle-city,08243
new-jersey,Ocean County,mantoloking,08738
maryland,Kent County,chestertown,21620
virginia,Louisa County,gordonsville,22942
massachusetts,Barnstable County,provincetown,02657
new-jersey,Cape May County,stone-harbor,08247
new-jersey,Ocean County,point-pleasant-beach,08742
virginia,Fauquier County,warrenton,
virginia,Arlington County,arlington,
virginia,,alexandria,
virginia,Warren County,front-royal,
virginia,Page County,rileyville,
virginia,Madison County,madison,
virginia,Harrisonburg city,harrisonburg,
virginia,Shenandoah County,basye,
virginia,Page County,luray,
virginia,Rockingham County,mc-gaheysville,
virginia,Page County,shenandoah,
virginia,Page County,stanley,
virginia,Albemarle County,charlottesville,
virginia,Nelson County,afton,
virginia,Albemarle County,crozet,
virginia,Greene County,stanardsville,
virginia,Waynesboro city,waynesboro,
virginia,Louisa County,bumpass,
virginia,Gloucester County,gloucester,
virginia,Henrico County,henrico,
virginia,Louisa County,mineral,
virginia,James City County,williamsburg,
virginia,Richmond City,richmond,
virginia,Northampton County,cape-charles,
virginia,Accomack County,onancock,
virginia,Newport News City,newport-news,
virginia,Hampton City,hampton,
virginia,Portsmouth city,portsmouth,
virginia,Petersburg city,petersburg,
virginia,Roanoke City,roanoke,
virginia,Montgomery County,blacksburg,
virginia,Montgomery County,christiansburg,
virginia,Bedford County,huddleston,
virginia,Bedford County,moneta,
virginia,Washington County,damascus,
virginia,Staunton City,staunton,
virginia,Rockbridge County,lexington,
massachusetts,Hampshire County,florence,
massachusetts,Berkshire County,becket,
massachusetts,Berkshire County,great-barrington,
massachusetts,Suffolk County,dorchester,
massachusetts,Suffolk County,allston,
massachusetts,Middlesex County,cambridge,
massachusetts,Middlesex County,somerville,
massachusetts,Norfolk County,brookline,
massachusetts,Barnstable County,woods-hole,
massachusetts,Nantucket County,nantucket,
massachusetts,Barnstable County,pocasset,
massachusetts,Barnstable County,sagamore-beach,
massachusetts,Barnstable County,hyannis,
massachusetts,Barnstable County,brewster,
massachusetts,Barnstable County,centerville,
massachusetts,Barnstable County,chatham,
massachusetts,Barnstable County,east-dennis,
massachusetts,Barnstable County,harwich-port,
massachusetts,Barnstable County,north-chatham,
massachusetts,Barnstable County,north-truro,
massachusetts,Barnstable County,orleans,
massachusetts,Barnstable County,osterville,
massachusetts,Barnstable County,south-wellfleet,
massachusetts,Barnstable County,truro,
massachusetts,Barnstable County,wellfleet,
massachusetts,Barnstable County,west-chatham,
massachusetts,Barnstable County,west-dennis,
massachusetts,Bristol County,south-dartmouth,
massachusetts,Bristol County,westport,
rhode-island,Washington County,block-island,
rhode-island,Washington County,wakefield,
rhode-island,Providence County,providence,
new-jersey,Hudson County,weehawken,
new-jersey,Hudson County,union-city,
new-jersey,Hudson County,west-new-york,
new-jersey,Essex County,newark,
new-jersey,Union County,elizabeth,
new-jersey,Passaic County,paterson,
new-jersey,Monmouth County,ocean-grove,
new-jersey,Atlantic County,absecon,
new-jersey,Cape May County,cape-may,
new-jersey,Cape May County,cape-may-point,
new-jersey,Cape May County,ocean-city,
new-jersey,Cape May County,wildwood,
maryland,Prince George's County,oxon-hill,
